Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-09-26,1.141825386650831,1.1659697208660087,1.107821858203229,1.1082242727279663,1363200,0.0,0.0
2002-09-27,1.109633206262085,1.121302922719819,1.1003779006658243,1.1066148281097412,873600,0.0,0.0
2002-09-30,1.0864945246426272,1.1166749281049224,1.077641633924672,1.090518593788147,1558400,0.0,0.0
2002-10-01,1.0868967201421178,1.1017856732007565,1.0482657715859602,1.092530369758606,2937600,0.0,0.0
2002-10-02,1.0691910467194978,1.0997738637898165,1.0567165018463194,1.0744223594665527,1904000,0.0,0.0
2002-10-03,1.0683860388299422,1.0965544404791174,1.0683860388299422,1.0844823122024536,4320000,0.0,0.0
2002-10-04,1.1046023199644381,1.1066143152911596,1.0613440366764195,1.0736171007156372,4009600,0.0,0.0
2002-10-07,1.0581252494184885,1.0703983186924722,1.0229144719028815,1.0315665006637573,4387200,0.0,0.0
2002-10-08,1.0520892624604614,1.10661486969949,1.0416267126638827,1.1056091785430908,4656000,0.0,0.0
2002-10-09,1.1211009600641584,1.1337770529118747,1.10762065238275,1.1265337467193604,4400000,0.0,0.0
2002-10-10,1.137399110588593,1.3309560674868517,1.116876427993982,1.3027876615524292,13081600,0.0,0.0
2002-10-11,1.2953428001107283,1.3520819497976455,1.268985605132215,1.3027876615524292,9558400,0.0,0.0
2002-10-14,1.2911176745570216,1.3025859124500396,1.2794479607744245,1.2907153367996216,3145600,0.0,0.0
2002-10-15,1.302787499232223,1.4154609554259525,1.302787499232223,1.3748180866241455,7603200,0.0,0.0
2002-10-16,1.3621420552302814,1.3621420552302814,1.290715504358579,1.341016173362732,5788800,0.0,0.0
2002-10-17,1.3882987594017497,1.4526835680007935,1.373812139090592,1.4526835680007935,8630400,0.0,0.0
2002-10-18,1.4444341473610922,1.461737587512532,1.4170705747265102,1.4424221515655518,7955200,0.0,0.0
2002-10-21,1.4486591880302246,1.480851583729806,1.4287404741872378,1.4482568502426147,4899200,0.0,0.0
